image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
IMG_2379.JPG,104,https://s.shopee.co.th/9zwbUmIfIG,เสื้อคอกลม,ขาว,เสื้อยืดคอกลม crop สีขาว,เสื้อ,หญิง,,แคชชวล,,
IMG_2380.JPG,104,https://s.shopee.co.th/9zwbUmIfIG,เสื้อคอกลม,ดำ,เสื้อยืดคอกลม crop สีดำแถบข้าง,เสื้อ,หญิง,,แคชชวล,,
IMG_2381.JPG,104,https://s.shopee.co.th/9zwbUmIfIG,เสื้อคอกลม,ชมพูอ่อน,เสื้อยืดคอกลม crop สีชมพูอ่อน,เสื้อ,หญิง,,แคชชวล,,
IMG_2382.JPG,104,https://s.shopee.co.th/9zwbUmIfIG,เสื้อคอกลม,เบจ,เสื้อยืดคอกลม crop สีเบจ,เสื้อ,หญิง,,แคชชวล,,
IMG_2383.JPG,104,https://s.shopee.co.th/9zwbUmIfIG,เสื้อคอกลม,ครีม,เสื้อยืดคอกลม crop สีครีม,เสื้อ,หญิง,,แคชชวล,,
IMG_2384.JPG,104,https://s.shopee.co.th/9zwbUmIfIG,เสื้อคอกลม,เทาอ่อน,เสื้อยืดคอกลม crop สีเทาอ่อน,เสื้อ,หญิง,,แคชชวล,,
IMG_2385.JPG,104,https://s.shopee.co.th/9zwbUmIfIG,เสื้อคอกลม,เทา,เสื้อยืดคอกลม crop สีเทา,เสื้อ,หญิง,,แคชชวล,,
IMG_2386.JPG,104,https://s.shopee.co.th/9zwbUmIfIG,เสื้อคอกลม,กรมท่า,เสื้อยืดคอกลม crop สีกรมท่า,เสื้อ,หญิง,,แคชชวล,,
IMG_2387.JPG,104,https://s.shopee.co.th/9zwbUmIfIG,เสื้อคอกลม,เทาเข้ม,เสื้อยืดคอกลม crop สีเทาเข้ม,เสื้อ,หญิง,,แคชชวล,,
