image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/beanie-white.png,250,https://s.shopee.co.th/904Rk5r3YH,knit-beanie-ss2,ครีม,LOOKER SS2 Knit Beanies หมวกไหมพรม สีครีม,หมวก,ทุกเพศ,,สตรีท,,
cropped/beanie-black.png,250,https://s.shopee.co.th/904Rk5r3YH,knit-beanie-ss2,ดำ,LOOKER SS2 Knit Beanies หมวกไหมพรม สีดำ,หมวก,ทุกเพศ,,สตรีท,,
cropped/beanie-grey.png,250,https://s.shopee.co.th/904Rk5r3YH,knit-beanie-ss2,เทา,LOOKER SS2 Knit Beanies หมวกไหมพรม สีเทา,หมวก,ทุกเพศ,,สตรีท,,
