image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/green.png,690,https://s.shopee.co.th/70JNMmO1DN,garcon-dgt-tee,เขียวหัวเป็ด,เสื้อยืดสกรีนโลโก้ Garçon.dept สีเขียวหัวเป็ด,เสื้อ,ทุกเพศ,,สตรีท,,
cropped/grey.png,690,https://s.shopee.co.th/70JNMmO1DN,garcon-dgt-tee,เทา,เสื้อยืดสกรีนโลโก้ Garçon.dept สีเทา,เสื้อ,ทุกเพศ,,สตรีท,,
cropped/charcoal.png,690,https://s.shopee.co.th/70JNMmO1DN,garcon-dgt-tee,เทาเข้ม,เสื้อยืดสกรีนโลโก้ Garçon.dept สีเทาเข้ม,เสื้อ,ทุกเพศ,,สตรีท,,
