image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/olive.png,270,https://s.shopee.co.th/1qazkxmXJs,mens-tee,เขียวมะกอก,เสื้อยืด RUDEDOG รุ่น Monaco สีเขียวมะกอก,เสื้อ,ชาย,,สตรีท,,
cropped/navy-dark.png,270,https://s.shopee.co.th/1qazkxmXJs,mens-tee,กรมท่าเข้ม,เสื้อยืด RUDEDOG รุ่น Monaco สีกรมท่าเข้ม,เสื้อ,ชาย,,สตรีท,,
cropped/dark-grey.png,270,https://s.shopee.co.th/1qazkxmXJs,mens-tee,เทาเข้ม,เสื้อยืด RUDEDOG รุ่น Monaco สีเทาเข้ม,เสื้อ,ชาย,,สตรีท,,
cropped/light-grey.png,270,https://s.shopee.co.th/1qazkxmXJs,mens-tee,เทาอ่อน,เสื้อยืด RUDEDOG รุ่น Monaco สีเทาอ่อน,เสื้อ,ชาย,,สตรีท,,
cropped/blue.png,270,https://s.shopee.co.th/1qazkxmXJs,mens-tee,ฟ้า,เสื้อยืด RUDEDOG รุ่น Monaco สีฟ้า,เสื้อ,ชาย,,สตรีท,,
cropped/beige-blue.png,270,https://s.shopee.co.th/1qazkxmXJs,mens-tee,เบจฟ้า,เสื้อยืด RUDEDOG รุ่น Monaco สีเบจฟ้า,เสื้อ,ชาย,,สตรีท,,
cropped/flint-grey.png,270,https://s.shopee.co.th/1qazkxmXJs,mens-tee,เทาหิน,เสื้อยืด RUDEDOG รุ่น Monaco สีเทาหิน,เสื้อ,ชาย,,สตรีท,,
cropped/brown-lion.png,270,https://s.shopee.co.th/1qazkxmXJs,mens-tee,น้ำตาลไลออน,เสื้อยืด RUDEDOG รุ่น Monaco สีน้ำตาลไลออน,เสื้อ,ชาย,,สตรีท,,
cropped/beige-orange.png,270,https://s.shopee.co.th/1qazkxmXJs,mens-tee,เบจส้ม,เสื้อยืด RUDEDOG รุ่น Monaco สีเบจส้ม,เสื้อ,ชาย,,สตรีท,,
