image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/cap-esthetic-green.jpg,590,https://s.shopee.co.th/20uhPOwHUf,garcon-basic-cap,เขียว,Garcon Basic cap หมวกแก๊ป ลาย Esthetic Approved สีเขียว,หมวก,ทุกเพศ,,วินเทจ,,
cropped/cap-garcon-black.jpg,590,https://s.shopee.co.th/20uhPOwHUf,garcon-basic-cap,ดำ,Garcon Basic cap หมวกแก๊ป ลาย Garçon Dept สีดำ,หมวก,ทุกเพศ,,วินเทจ,,
cropped/cap-creativism-denim.jpg,590,https://s.shopee.co.th/20uhPOwHUf,garcon-basic-cap,ยีนส์,Garcon Basic cap หมวกแก๊ป ลาย Creativism ผ้ายีนส์,หมวก,ทุกเพศ,,วินเทจ,,
cropped/cap-garcon-beige.jpg,590,https://s.shopee.co.th/20uhPOwHUf,garcon-basic-cap,เบจ,Garcon Basic cap หมวกแก๊ป ลาย Garçon Dept สีเบจ,หมวก,ทุกเพศ,,วินเทจ,,
cropped/cap-listenmusic-gray.jpg,590,https://s.shopee.co.th/20uhPOwHUf,garcon-basic-cap,เทาม่วง,Garcon Basic cap หมวกแก๊ป ลาย Listen Musicaholic สีเทาม่วง,หมวก,ทุกเพศ,,วินเทจ,,
cropped/cap-minimal-coral.jpg,590,https://s.shopee.co.th/20uhPOwHUf,garcon-basic-cap,ส้ม,Garcon Basic cap หมวกแก๊ป ลาย Minimal Face สีส้ม,หมวก,ทุกเพศ,,วินเทจ,,
