image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/beige.png,790,https://s.shopee.co.th/LmTQlevtT,kins-plain-polo,เบจ,เสื้อโปโลคอปก KINS สีเบจ,เสื้อ,ทุกเพศ,,มินิมอล,,
cropped/black.png,790,https://s.shopee.co.th/LmTQlevtT,kins-plain-polo,ดำ,เสื้อโปโลคอปก KINS สีดำ,เสื้อ,ทุกเพศ,,มินิมอล,,
cropped/brown.png,790,https://s.shopee.co.th/LmTQlevtT,kins-plain-polo,น้ำตาล,เสื้อโปโลคอปก KINS สีน้ำตาล,เสื้อ,ทุกเพศ,,มินิมอล,,
cropped/navy.png,790,https://s.shopee.co.th/LmTQlevtT,kins-plain-polo,กรมท่า,เสื้อโปโลคอปก KINS สีกรมท่า,เสื้อ,ทุกเพศ,,มินิมอล,,
cropped/white.png,790,https://s.shopee.co.th/LmTQlevtT,kins-plain-polo,ขาว,เสื้อโปโลคอปก KINS สีขาว,เสื้อ,ทุกเพศ,,มินิมอล,,
