image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/blue.png,348,https://s.shopee.co.th/9fJr5Vsbnx,crop-oversize,น้ำเงิน,เสื้อครอปโอเวอร์ไซส์ RUDEDOG สีน้ำเงิน,เสื้อ,หญิง,,สตรีท,,
cropped/green.png,348,https://s.shopee.co.th/9fJr5Vsbnx,crop-oversize,เขียว,เสื้อครอปโอเวอร์ไซส์ RUDEDOG สีเขียว,เสื้อ,หญิง,,สตรีท,,
cropped/navy.png,348,https://s.shopee.co.th/9fJr5Vsbnx,crop-oversize,กรมท่า,เสื้อครอปโอเวอร์ไซส์ RUDEDOG สีกรมท่า,เสื้อ,หญิง,,สตรีท,,
cropped/black.png,348,https://s.shopee.co.th/9fJr5Vsbnx,crop-oversize,ดำ,เสื้อครอปโอเวอร์ไซส์ RUDEDOG สีดำ,เสื้อ,หญิง,,สตรีท,,
cropped/white.png,348,https://s.shopee.co.th/9fJr5Vsbnx,crop-oversize,ขาว,เสื้อครอปโอเวอร์ไซส์ RUDEDOG สีขาว,เสื้อ,หญิง,,สตรีท,,
