image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
#IMG_2561.JPG,139,https://s.shopee.co.th/qiSYbdDOg,v-neck-tee,กรมท่า,เสื้อคอวีเข้ารูป สีกรมท่า,เสื้อ,หญิง,,มินิมอล,,
#IMG_2562.JPG,139,https://s.shopee.co.th/qiSYbdDOg,v-neck-tee,น้ำตาล,เสื้อคอวีเข้ารูป สีน้ำตาล,เสื้อ,หญิง,,มินิมอล,,
IMG_2563.JPG,139,https://s.shopee.co.th/qiSYbdDOg,v-neck-tee,เทา,เสื้อคอวีเข้ารูป สีเทา,เสื้อ,หญิง,,มินิมอล,,
#IMG_2564.JPG,139,https://s.shopee.co.th/qiSYbdDOg,v-neck-tee,ดำ,เสื้อคอวีเข้ารูป สีดำ,เสื้อ,หญิง,,มินิมอล,,
#IMG_2565.JPG,139,https://s.shopee.co.th/qiSYbdDOg,v-neck-tee,ขาว,เสื้อคอวีเข้ารูป สีขาว,เสื้อ,หญิง,,มินิมอล,,
