image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/black.png,118,https://s.shopee.co.th/3g2vNqZWfA,star-halter-top,ดำ,เสื้อคล้องคอลายดาว สีดำ,เสื้อ,หญิง,,สตรีท,,
cropped/white.png,118,https://s.shopee.co.th/3g2vNqZWfA,star-halter-top,ขาว,เสื้อคล้องคอลายดาว สีขาว,เสื้อ,หญิง,,สตรีท,,
cropped/red.png,118,https://s.shopee.co.th/3g2vNqZWfA,star-halter-top,แดง,เสื้อคล้องคอลายดาว สีแดง,เสื้อ,หญิง,,สตรีท,,
cropped/navy.png,118,https://s.shopee.co.th/3g2vNqZWfA,star-halter-top,กรมท่า,เสื้อคล้องคอลายดาว สีกรมท่า,เสื้อ,หญิง,,สตรีท,,
cropped/white-plain.png,118,https://s.shopee.co.th/3g2vNqZWfA,star-halter-top,ขาวเรียบ,เสื้อคล้องคอ สีขาวเรียบ (ไม่มีลายดาว),เสื้อ,หญิง,,สตรีท,,
