image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/IMG_2799.png,179,https://s.shopee.co.th/W5k0OitcC,vneck-lace-short,ขาว,เสื้อยืดคอวีลูกไม้ผูกโบว์ แขนสั้น สีขาว,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2800.png,179,https://s.shopee.co.th/W5k0OitcC,vneck-lace-short,ดำ,เสื้อยืดคอวีลูกไม้ผูกโบว์ แขนสั้น สีดำ,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2801.png,179,https://s.shopee.co.th/W5k0OitcC,vneck-lace-short,ม่วงเข้ม,เสื้อยืดคอวีลูกไม้ผูกโบว์ แขนสั้น สีม่วงเข้ม,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2802.png,179,https://s.shopee.co.th/W5k0OitcC,vneck-eyelet-puff,ขาว,เสื้อคอกว้างลูกไม้ฉลุแขนพัฟ สีขาว,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2803.png,179,https://s.shopee.co.th/W5k0OitcC,vneck-lace-long,ขาว,เสื้อยืดคอวีลูกไม้ผูกโบว์ แขนยาว สีขาว,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2804.png,179,https://s.shopee.co.th/W5k0OitcC,vneck-lace-long,ดำ,เสื้อยืดคอวีลูกไม้ผูกโบว์ แขนยาว สีดำ,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2805.png,179,https://s.shopee.co.th/W5k0OitcC,vneck-lace-long,ม่วงเข้ม,เสื้อยืดคอวีลูกไม้ผูกโบว์ แขนยาว สีม่วงเข้ม,เสื้อ,หญิง,,แคชชวล,,
