image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/IMG_2978.png,810,https://s.shopee.co.th/8AVJ0giEcd,เบบี้ทีคอกลม Spice Girl in Ballet,ดำ,เสื้อเบบี้ทีคอกลม Spice Girl in Ballet สีดำ,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2979.png,810,https://s.shopee.co.th/8AVJ0giEcd,เบบี้ทีคอกลม Spice Girl in Ballet,เทาเข้ม,เสื้อเบบี้ทีคอกลม Spice Girl in Ballet สีเทาเข้ม,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2980.png,810,https://s.shopee.co.th/8AVJ0giEcd,เบบี้ทีคอกลม Spice Girl in Ballet,ม่วงลาเวนเดอร์,เสื้อเบบี้ทีคอกลม Spice Girl in Ballet สีม่วงลาเวนเดอร์,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2981.png,810,https://s.shopee.co.th/8AVJ0giEcd,เบบี้ทีคอกลม Spice Girl in Ballet,ครีมขาว,เสื้อเบบี้ทีคอกลม Spice Girl in Ballet สีครีมขาว,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2982.png,810,https://s.shopee.co.th/8AVJ0giEcd,เบบี้ทีคอกลม Spice Girl in Ballet,ฟ้าอ่อน,เสื้อเบบี้ทีคอกลม Spice Girl in Ballet สีฟ้าอ่อน,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_2983.png,810,https://s.shopee.co.th/8AVJ0giEcd,เบบี้ทีคอกลม Spice Girl in Ballet,ชมพูอ่อน,เสื้อเบบี้ทีคอกลม Spice Girl in Ballet สีชมพูอ่อน,เสื้อ,หญิง,,แคชชวล,,
