image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/bucket-black.png,250,https://s.shopee.co.th/9V0iKrWn1m,bucket-hat-looker,ดำ,LOOKER BUCKET HAT หมวกบักเก็ตลุคเกอร์ สีดำ,หมวก,ทุกเพศ,,สตรีท,,
cropped/bucket-white.png,250,https://s.shopee.co.th/9V0iKrWn1m,bucket-hat-looker,ขาว,LOOKER BUCKET HAT หมวกบักเก็ตลุคเกอร์ สีขาว,หมวก,ทุกเพศ,,สตรีท,,
cropped/bucket-gray.png,250,https://s.shopee.co.th/9V0iKrWn1m,bucket-hat-looker,เทา,LOOKER BUCKET HAT หมวกบักเก็ตลุคเกอร์ สีเทา,หมวก,ทุกเพศ,,สตรีท,,
cropped/bucket-cream.png,250,https://s.shopee.co.th/9V0iKrWn1m,bucket-hat-looker,ครีม,LOOKER BUCKET HAT หมวกบักเก็ตลุคเกอร์ สีครีม,หมวก,ทุกเพศ,,สตรีท,,
cropped/bucket-khaki.png,250,https://s.shopee.co.th/9V0iKrWn1m,bucket-hat-looker,กากี,LOOKER BUCKET HAT หมวกบักเก็ตลุคเกอร์ สีกากี,หมวก,ทุกเพศ,,สตรีท,,
