image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/pants-white.png,351,https://s.shopee.co.th/4LISaTmRme,pants-classic-hnd,ขาว,กางเกงขาเต่อ ทรงกระบอกเล็ก Classic Pants สีขาว,กางเกง,ทุกเพศ,ยาว,ทางการ,,
cropped/pants-tan.png,351,https://s.shopee.co.th/4LISaTmRme,pants-classic-hnd,เบจ,กางเกงขาเต่อ ทรงกระบอกเล็ก Classic Pants สีเบจ,กางเกง,ทุกเพศ,ยาว,ทางการ,,
cropped/pants-taupe.png,351,https://s.shopee.co.th/4LISaTmRme,pants-classic-hnd,เทาน้ำตาล,กางเกงขาเต่อ ทรงกระบอกเล็ก Classic Pants สีเทาน้ำตาล,กางเกง,ทุกเพศ,ยาว,ทางการ,,
cropped/pants-brown.png,351,https://s.shopee.co.th/4LISaTmRme,pants-classic-hnd,น้ำตาลเข้ม,กางเกงขาเต่อ ทรงกระบอกเล็ก Classic Pants สีน้ำตาลเข้ม,กางเกง,ทุกเพศ,ยาว,ทางการ,,
cropped/pants-bluegray.png,351,https://s.shopee.co.th/4LISaTmRme,pants-classic-hnd,เทาฟ้า,กางเกงขาเต่อ ทรงกระบอกเล็ก Classic Pants สีเทาฟ้า,กางเกง,ทุกเพศ,ยาว,ทางการ,,
cropped/pants-black.png,351,https://s.shopee.co.th/4LISaTmRme,pants-classic-hnd,ดำ,กางเกงขาเต่อ ทรงกระบอกเล็ก Classic Pants สีดำ,กางเกง,ทุกเพศ,ยาว,ทางการ,,
