image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/black.png,69,https://s.shopee.co.th/70JNN3YkaO,mens-casual-shorts,ดำ,กางเกงขาสั้นลำลองผู้ชาย DK-818 สีดำ,กางเกง,ชาย,สั้น,แคชชวล,,
cropped/darkgrey.png,69,https://s.shopee.co.th/70JNN3YkaO,mens-casual-shorts,เทาเข้ม,กางเกงขาสั้นลำลองผู้ชาย DK-818 สีเทาเข้ม,กางเกง,ชาย,สั้น,แคชชวล,,
cropped/navy.png,69,https://s.shopee.co.th/70JNN3YkaO,mens-casual-shorts,กรมท่า,กางเกงขาสั้นลำลองผู้ชาย DK-818 สีกรมท่า,กางเกง,ชาย,สั้น,แคชชวล,,
cropped/khaki.png,69,https://s.shopee.co.th/70JNN3YkaO,mens-casual-shorts,กากี,กางเกงขาสั้นลำลองผู้ชาย DK-818 สีกากี,กางเกง,ชาย,สั้น,แคชชวล,,
cropped/grey.png,69,https://s.shopee.co.th/70JNN3YkaO,mens-casual-shorts,เทา,กางเกงขาสั้นลำลองผู้ชาย DK-818 สีเทา,กางเกง,ชาย,สั้น,แคชชวล,,
