image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
IMG_2355.JPG,210,https://s.shopee.co.th/1BLBWzeZBB,วอร์มขาบาน,ดำ,กางเกงวอร์มขาบาน สีดำ,กางเกง,หญิง,ยาว,แคชชวล,,
IMG_2356.JPG,210,https://s.shopee.co.th/1BLBWzeZBB,วอร์มขาบาน,ครีม,กางเกงวอร์มขาบาน สีครีม,กางเกง,หญิง,ยาว,แคชชวล,,
IMG_2357.JPG,210,https://s.shopee.co.th/1BLBWzeZBB,วอร์มขาบาน,เทา,กางเกงวอร์มขาบาน สีเทา,กางเกง,หญิง,ยาว,แคชชวล,,
IMG_2358.JPG,210,https://s.shopee.co.th/1BLBWzeZBB,วอร์มขาบาน,ฟ้าอ่อน,กางเกงวอร์มขาบาน สีฟ้าอ่อน,กางเกง,หญิง,ยาว,แคชชวล,,
IMG_2359.JPG,210,https://s.shopee.co.th/1BLBWzeZBB,วอร์มขาบาน,เทาอ่อน,กางเกงวอร์มขาบาน สีเทาอ่อน,กางเกง,หญิง,ยาว,แคชชวล,,
IMG_2360.JPG,210,https://s.shopee.co.th/1BLBWzeZBB,วอร์มขาบาน,กรมท่า,กางเกงวอร์มขาบาน สีกรมท่า,กางเกง,หญิง,ยาว,แคชชวล,,
IMG_2361.JPG,210,https://s.shopee.co.th/1BLBWzeZBB,วอร์มขาบาน,ขาว,กางเกงวอร์มขาบาน สีขาว,กางเกง,หญิง,ยาว,แคชชวล,,
IMG_2362.JPG,210,https://s.shopee.co.th/1BLBWzeZBB,วอร์มขาบาน,กาแฟ,กางเกงวอร์มขาบาน สีกาแฟ,กางเกง,หญิง,ยาว,แคชชวล,,
IMG_2363.JPG,210,https://s.shopee.co.th/1BLBWzeZBB,วอร์มขาบาน,ม่วงอ่อน,กางเกงวอร์มขาบาน สีม่วงอ่อน,กางเกง,หญิง,ยาว,แคชชวล,,
