image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/blackgrey.png,95,https://s.shopee.co.th/7psUMqlJsO,striped-short-sleeve,ดำเทา,เสื้อแขนสั้นลายทางสไตล์สปอร์ตทรงหลวม สีดำเทา,เสื้อ,ทุกเพศ,,กีฬา,,
cropped/creambrown.png,95,https://s.shopee.co.th/7psUMqlJsO,striped-short-sleeve,ครีมน้ำตาล,เสื้อแขนสั้นลายทางสไตล์สปอร์ตทรงหลวม สีครีมน้ำตาล,เสื้อ,ทุกเพศ,,กีฬา,,
cropped/whitepurple.png,95,https://s.shopee.co.th/7psUMqlJsO,striped-short-sleeve,ขาวม่วง,เสื้อแขนสั้นลายทางสไตล์สปอร์ตทรงหลวม สีขาวม่วง,เสื้อ,ทุกเพศ,,กีฬา,,
