image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/printed-tee-iron-maiden.png,850,https://s.shopee.co.th/5ArhQWquNo,H&M เสื้อยืดพิมพ์ลายวงดนตรี,ฟ้า,เสื้อยืดพิมพ์ลาย Iron Maiden ขอบผ้าดิบ สีฟ้า,เสื้อ,ทุกเพศ,,วินเทจ,,
cropped/printed-tee-metallica-black.png,850,https://s.shopee.co.th/5ArhQWquNo,H&M เสื้อยืดพิมพ์ลายวงดนตรี,ดำ,เสื้อยืดพิมพ์ลาย Metallica Creeping Death สีดำ,เสื้อ,ทุกเพศ,,วินเทจ,,
cropped/printed-tee-metallica-white.png,850,https://s.shopee.co.th/5ArhQWquNo,H&M เสื้อยืดพิมพ์ลายวงดนตรี,ขาว,เสื้อยืดพิมพ์ลาย Metallica Skulls สีขาว,เสื้อ,ทุกเพศ,,วินเทจ,,
