image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/black.png,340,https://s.shopee.co.th/8AVKlZh9cq,angelbra-kaori,ดำ,เสื้อพร้อมบรา Kaori สีดำ,เสื้อ,หญิง,,แคชชวล,,
cropped/cream.png,340,https://s.shopee.co.th/8AVKlZh9cq,angelbra-kaori,ครีม,เสื้อพร้อมบรา Kaori สีครีม,เสื้อ,หญิง,,แคชชวล,,
cropped/pink.png,340,https://s.shopee.co.th/8AVKlZh9cq,angelbra-kaori,ชมพู,เสื้อพร้อมบรา Kaori สีชมพู,เสื้อ,หญิง,,แคชชวล,,
cropped/blue.png,340,https://s.shopee.co.th/8AVKlZh9cq,angelbra-kaori,ฟ้า,เสื้อพร้อมบรา Kaori สีฟ้า,เสื้อ,หญิง,,แคชชวล,,
