image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/IMG_2658.png,759,https://s.shopee.co.th/5fnq8Ffc1x,maison-cap,เทาเข้ม,หมวกแก๊ป maison Logo Cap สีเทาเข้ม,หมวก,ทุกเพศ,,แคชชวล,,
cropped/IMG_2659.png,759,https://s.shopee.co.th/5fnq8Ffc1x,maison-cap,น้ำตาลเข้ม,หมวกแก๊ป maison Logo Cap สีน้ำตาลเข้ม,หมวก,ทุกเพศ,,แคชชวล,,
cropped/IMG_2660.png,759,https://s.shopee.co.th/5fnq8Ffc1x,maison-cap,กรมท่า,หมวกแก๊ป maison Logo Cap สีกรมท่า,หมวก,ทุกเพศ,,แคชชวล,,
cropped/IMG_2661.png,759,https://s.shopee.co.th/5fnq8Ffc1x,maison-cap,เขียว,หมวกแก๊ป maison Logo Cap สีเขียว,หมวก,ทุกเพศ,,แคชชวล,,
cropped/IMG_2662.png,759,https://s.shopee.co.th/5fnq8Ffc1x,maison-cap,ฟ้าอ่อน,หมวกแก๊ป maison Logo Cap สีฟ้าอ่อน,หมวก,ทุกเพศ,,แคชชวล,,
cropped/IMG_2663.png,759,https://s.shopee.co.th/5fnq8Ffc1x,maison-cap,ดำ,หมวกแก๊ป maison Logo Cap สีดำ,หมวก,ทุกเพศ,,แคชชวล,,
cropped/IMG_2664.png,759,https://s.shopee.co.th/5fnq8Ffc1x,maison-cap,ครีม,หมวกแก๊ป maison Logo Cap สีครีม,หมวก,ทุกเพศ,,แคชชวล,,
