image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/IMG_3011.png,136,https://s.shopee.co.th/6L3epkMi04,เสื้อยืดคอกลมลายทาง,ขาว-ฟ้า-เทา,เสื้อยืดคอกลมแขนสั้นลายทาง สีขาว-ฟ้า-เทา,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_3012.png,136,https://s.shopee.co.th/6L3epkMi04,เสื้อยืดคอกลมลายทาง,ขาว-ดำ,เสื้อยืดคอกลมแขนสั้นลายทาง สีขาว-ดำ,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_3013.png,136,https://s.shopee.co.th/6L3epkMi04,เสื้อยืดคอกลมลายทาง,มินต์-น้ำตาล,เสื้อยืดคอกลมแขนสั้นลายทาง สีมินต์-น้ำตาล,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_3014.png,136,https://s.shopee.co.th/6L3epkMi04,เสื้อยืดคอกลมลายทาง,ครีม-ชมพู-กรมท่า,เสื้อยืดคอกลมแขนสั้นลายทาง สีครีม-ชมพู-กรมท่า,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_3015.png,136,https://s.shopee.co.th/6L3epkMi04,เสื้อยืดคอกลมลายทาง,ขาว-เขียวขี้ม้า-ดำ,เสื้อยืดคอกลมแขนสั้นลายทาง สีขาว-เขียวขี้ม้า-ดำ,เสื้อ,หญิง,,แคชชวล,,
cropped/IMG_3016.png,136,https://s.shopee.co.th/6L3epkMi04,เสื้อยืดคอกลมลายทาง,ฟ้า-ขาว,เสื้อยืดคอกลมแขนสั้นลายทาง สีฟ้า-ขาว,เสื้อ,หญิง,,แคชชวล,,
