image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/IMG_2930.png,125,https://s.shopee.co.th/7VFcCwIvtz,MOSESQUEEN สีตัดกัน,กรมท่า-แดง-ทอง,เสื้อยืดแขนสั้นลายทางสีตัดกัน สีกรมท่า-แดง-ทอง,เสื้อ,ทุกเพศ,,วินเทจ,,
cropped/IMG_2931.png,125,https://s.shopee.co.th/7VFcCwIvtz,MOSESQUEEN สีตัดกัน,ครีม-ดำ,เสื้อยืดแขนสั้นลายทางสีตัดกัน สีครีม-ดำ,เสื้อ,ทุกเพศ,,วินเทจ,,
cropped/IMG_2932.png,125,https://s.shopee.co.th/7VFcCwIvtz,MOSESQUEEN สีตัดกัน,เทาเข้ม-ขาว,เสื้อยืดแขนสั้นลายทางสีตัดกัน สีเทาเข้ม-ขาว,เสื้อ,ทุกเพศ,,วินเทจ,,
