image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
#IMG_2566.JPG,239,https://s.shopee.co.th/6pzfhgEGhm,polo-long-sleeve,ฟ้าอ่อน,เสื้อโปโลแขนยาว สีฟ้าอ่อน,เสื้อ,ชาย,,วินเทจ,,
#IMG_2567.JPG,239,https://s.shopee.co.th/6pzfhgEGhm,polo-long-sleeve,น้ำตาลเข้ม,เสื้อโปโลแขนยาว สีน้ำตาลเข้ม,เสื้อ,ชาย,,วินเทจ,,
#IMG_2568.JPG,239,https://s.shopee.co.th/6pzfhgEGhm,polo-long-sleeve,ขาว,เสื้อโปโลแขนยาว สีขาว,เสื้อ,ชาย,,วินเทจ,,
#IMG_2569.JPG,239,https://s.shopee.co.th/6pzfhgEGhm,polo-long-sleeve,ดำ,เสื้อโปโลแขนยาว สีดำ,เสื้อ,ชาย,,วินเทจ,,
#IMG_2570.JPG,239,https://s.shopee.co.th/6pzfhgEGhm,polo-long-sleeve,น้ำตาลอ่อน,เสื้อโปโลแขนยาว สีน้ำตาลอ่อน,เสื้อ,ชาย,,วินเทจ,,
